Mandarin,English
"珍妮
zhēn nī","Jenny
zhēn nī"
"心理
xīnlǐ","psychological
xīnlǐ"
"care
care","care
care"
"真不错
zhēn bùcuò","really not bad
zhēn bùcuò"
"返回
fǎnhuí","return
fǎnhuí"
"设备
shèbèi","equipment
shèbèi"
"制服
zhìfú","uniform
zhìfú"
"同一个
tòng yī gè","the same one
tòng yī gè"
"っ
っ","っ
っ"
"左边
zuǒbian","left
zuǒbian"
"西班牙
xībānyá","Spain
xībānyá"
"拿出
náchū","Out
náchū"
"贱人
jiànrén","Slut
jiànrén"
"糖
táng","sugar
táng"
"most
most","most
most"
"承受
chéngshòu","bear
chéngshòu"
"少校
shàoxiào","Major
shàoxiào"
"決定
juédìng","Decide
juédìng"
"擅长
shàncháng","Good at
shàncháng"
"復
fù","complex
fù"
"千万
qiānwàn","Ten million
qiānwàn"
"裙子
qúnzi","skirt
qúnzi"
"listen
listen","listen
listen"
"非洲
fēizhōu","Africa
fēizhōu"
"基本
jīběn","Basic
jīběn"
"煮
zhǔ","cook
zhǔ"
"我來
wǒ lái","I come
wǒ lái"
"女友
nǚyǒu","Girlfriend
nǚyǒu"
"y
y","y
y"
"见见
jiàn jiàn","Meet
jiàn jiàn"
"と
と","と
と"
"说完
shuō wán","Finished
shuō wán"
"传说
chuánshuō","legend
chuánshuō"
"冒
mào","Risk
mào"
"也就是说
yějiùshìshuō","That
yějiùshìshuō"
"la
la","la
la"
"du
du","du
du"
"哈哈
hāhā","Haha
hāhā"
"斯特
sī tè","Manchester
sī tè"
"son
son","son
son"
"一路
yīlù","All the way
yīlù"
"迷人
mírén","charming
mírén"
"很酷
hěn kù","Cool
hěn kù"
"だ
だ","Da
Da"
"dad
dad","dad
dad"
"亚
yà","Asia
yà"
"非法
fēifǎ","illegal
fēifǎ"
"ä
ä","ä
ä"
"屋子
wūzi","room
wūzi"
"女兒
nǚér","daughter
nǚér"
"搞错
gǎocuò","Wrong
gǎocuò"
"作战
zuòzhàn","Fight
zuòzhàn"
"他媽
tāmā","His mother
tāmā"
"情绪
qíngxù","mood
qíngxù"
"那会
nà huì","That would
nà huì"
"然
rán","However
rán"
"工具
gōngjù","tool
gōngjù"
"手臂
shǒubì","Arm
shǒubì"
"結束
jiéshù","End
jiéshù"
"皮肤
pífū","skin
pífū"
"真心
zhēnxīn","sincere
zhēnxīn"
"害死
hàisǐ","Kill
hàisǐ"
"起诉
qǐsù","Sue
qǐsù"
"做个
zuò gè","To be
zuò gè"
"骂
mà","curse
mà"
"五年
wǔ nián","Five years
wǔ nián"
"建筑
jiànzhù","building
jiànzhù"
"together
together","together
together"
"head
head","head
head"
"多次
duōcì","repeatedly
duōcì"
"全国
quánguó","Nationwide
quánguó"
"流血
liúxuè","bleed
liúxuè"
"混
hùn","mix
hùn"
"指挥官
zhǐhuīguān","commander
zhǐhuīguān"
"合法
héfǎ","legitimate
héfǎ"
"驾驶
jiàshǐ","drive
jiàshǐ"
"没想
méi xiǎng","Thought
méi xiǎng"
"史蒂夫
shǐdìfū","Steve
shǐdìfū"
"麦
mài","wheat
mài"
"接电话
jiē diànhuà","Answer the phone
jiē diànhuà"
"我见
wǒ jiàn","I see
wǒ jiàn"
"检察官
jiǎncháguān","Prosecutor
jiǎncháguān"
"转移
zhuǎnyí","Metastasis
zhuǎnyí"
"不管怎样
bùguǎnzěnyàng","one way or another
bùguǎnzěnyàng"
"相处
xiāngchǔ","get along
xiāngchǔ"
"friend
friend","friend
friend"
"一切都是
yīqiè dōu shì","Everything
yīqiè dōu shì"
"原本
yuánběn","original
yuánběn"
"um
um","um
um"
"共同
gòngtóng","common
gòngtóng"
"ﻚ
ﻚ","ك
ك"
"不要紧
bùyàojǐn","Never mind
bùyàojǐn"
"威士忌
wēishìjì","Whiskey
wēishìjì"
"烟
yān","smoke
yān"
"妈咪
māmi","Mummy
māmi"
"ﻜ
ﻜ","ك
ك"
"live
live","live
live"
"點
diǎn","point
diǎn"
"网络
wǎngluò","The internet
wǎngluò"
"儿童
értóng","child
értóng"
"之内
zhīnèi","within
zhīnèi"
"修
xiū","repair
xiū"
"蛇
shé","snake
shé"
"后期
hòuqī","Later period
hòuqī"
"太晚
tài wǎn","Too late
tài wǎn"
"年龄
niánlíng","age
niánlíng"
"楼下
lóuxià","downstairs
lóuxià"
"员工
yuángōng","Employee
yuángōng"
"科
kē","Family
kē"
"尼
ní","Nepal
ní"
"避免
bìmiǎn","avoid
bìmiǎn"
"肯
kěn","Willing
kěn"
"吵架
chǎojià","quarrel
chǎojià"
"效果
xiàoguǒ","effect
xiàoguǒ"
"歌手
gēshǒu","singer
gēshǒu"
"一刻
yī kè","Moment
yī kè"
"活下去
huóxiàqù","To live
huóxiàqù"
"砸
zá","Smash
zá"
"美味
měiwèi","delicious
měiwèi"
"滚出去
gǔn chūqù","Get out
gǔn chūqù"
"huh
huh","huh
huh"
"saw
saw","saw
saw"
"神圣
shénshèng","sacred
shénshèng"
"运行
yùnxíng","run
yùnxíng"
"das
das","das
das"
"双手
shuāngshǒu","Hands
shuāngshǒu"
"交
jiāo","cross
jiāo"
"有着
yǒuzhe","have
yǒuzhe"
"那邊
nàbian","there
nàbian"
"mother
mother","mother
mother"
"還好
háihǎo","Fortunately,
háihǎo"
"family
family","family
family"
"刚好
gānghǎo","just
gānghǎo"
"撤退
chètuì","retreat
chètuì"
"miss
miss","miss
miss"
"托尼
tuō ní","Tony
tuō ní"
"赚钱
zhuànqián","Make money
zhuànqián"
"聽著
tīng zhe","listen
tīng zhe"
"地面
dìmiàn","ground
dìmiàn"
"男生
nánshēng","Schoolboy
nánshēng"
"七
qī","Seven
qī"
"處
chù","Office
chù"
"whole
whole","whole
whole"
"最佳
zuìjiā","optimal
zuìjiā"
"出门
chūmén","Go out
chūmén"
"想来
xiǎnglái","Want to come
xiǎnglái"
"尴尬
gāngà","awkward
gāngà"
"当成
dàngchéng","Regard
dàngchéng"
"手中
shǒu zhòng","Hands
shǒu zhòng"
"等一等
děngyīděng","Wait a minute
děngyīděng"
"假设
jiǎshè","Hypothesis
jiǎshè"
"鲍勃
bào bó","Bob
bào bó"
"莎
shā","Sha
shā"
"男友
nányǒu","Boyfriend
nányǒu"
"seen
seen","seen
seen"
"艰难
jiānnán","difficult
jiānnán"
"公开
gōngkāi","public
gōngkāi"
"我怕
wǒ pà","I'm afraid
wǒ pà"
"布朗
bùlǎng","Brown
bùlǎng"
"大事
dàshì","event
dàshì"
"全球
quánqiú","global
quánqiú"
"这么久
zhème jiǔ","so long
zhème jiǔ"
"蔚
wèi","Luxuriant
wèi"
"那次
nà cì","That
nà cì"
"men
men","men
men"
"装置
zhuāngzhì","Equipment
zhuāngzhì"
"签名
qiānmíng","signature
qiānmíng"
"外星人
wàixīngrén","Alien
wàixīngrén"
"商店
shāngdiàn","store
shāngdiàn"
"沒什麼
méishénme","It's nothing
méishénme"
"部落
bùluò","tribe
bùluò"
"dna
dna","dna
dna"
"反抗
fǎnkàng","Revolt
fǎnkàng"
"第二次
dìèrcì","the second time
dìèrcì"
"克莱尔
kèláiěr","Clare
kèláiěr"
"琵
pí","lute
pí"
"联盟
liánméng","alliance
liánméng"
"р
р","р
р"
"硬
yìng","hard
yìng"
"蠢
chǔn","stupid
chǔn"
"乐趣
lèqù","pleasure
lèqù"
"稳定
wěndìng","stable
wěndìng"
"姐妹
jiěmèi","sisters
jiěmèi"
"恋爱
liànài","in love
liànài"
"屎
shǐ","feces
shǐ"
"经理
jīnglǐ","manager
jīnglǐ"
"掩护
yǎnhù","cover
yǎnhù"
"取得
qǔdé","Obtain
qǔdé"
"女子
nǚzǐ","woman
nǚzǐ"
"玻璃
bōli","glass
bōli"
"眼前
yǎnqián","Present
yǎnqián"
"身
shēn","body
shēn"
"惊人
jīngrén","amazing
jīngrén"
"师傅
shīfu","master
shīfu"
"ﺴ
ﺴ","س
س"
"機會
jīhuì","opportunity
jīhuì"
"猴子
hóuzi","monkey
hóuzi"
"害
hài","harm
hài"
"went
went","went
went"
"陷入
xiànrù","Fall into
xiànrù"
"高興
gāoxìng","happy
gāoxìng"
"yourself
yourself","yourself
yourself"
"良好
liánghǎo","good
liánghǎo"
"打击
dǎjī","Blow
dǎjī"
"药物
yàowù","drug
yàowù"
"内部
nèibù","internal
nèibù"
"指示
zhǐshì","Instruction
zhǐshì"
"亚当
yàdāng","Adam
yàdāng"
"打扮
dǎban","dress up
dǎban"
"大街
dàjiē","Avenue
dàjiē"
"過去
guòqu","past
guòqu"
"よ
よ","Yo
Yo"
"杯
bēi","cup
bēi"
"尔
ěr","Seoul
ěr"
"礼貌
lǐmào","courtesy
lǐmào"
"第三
dìsān","third
dìsān"
"德国人
déguórén","German
déguórén"
"は
は","Wa
Wa"
"run
run","run
run"
"诶
éi","Eh
éi"
"peter
peter","peter
peter"
"dean
dean","dean
dean"
"保险
bǎoxiǎn","Insurance
bǎoxiǎn"
"走出
zǒuchū","Out
zǒuchū"
"wouldn
wouldn","wouldn
wouldn"
"地下室
dìxiàshì","basement
dìxiàshì"
"各
gè","each
gè"
"小镇
xiǎozhèn","Town
xiǎozhèn"
"佬
lǎo","guy
lǎo"
"最新
zuìxīn","up to date
zuìxīn"
"伊
yī","Iraq
yī"
"加州
jiāzhōu","California
jiāzhōu"
"大麻
dàmá","marijuana
dàmá"
"手段
shǒuduàn","means
shǒuduàn"
"更糟
gèng zāo","Worse
gèng zāo"
"泰勒
tàilè","Taylor
tàilè"
"苏联
sūlián","Soviet Union
sūlián"
"killed
killed","killed
killed"
"你们好
nǐ men hǎo","Hello
nǐ men hǎo"
"everyone
everyone","everyone
everyone"
"knew
knew","knew
knew"
"警察局
jǐngchájú","Police department
jǐngchájú"
"偷走
tōu zǒu","Stolen
tōu zǒu"
"风险
fēngxiǎn","risk
fēngxiǎn"
"取
qǔ","take
qǔ"
"星星
xīngxing","star
xīngxing"
"主席
zhǔxí","Chairman
zhǔxí"
"jane
jane","jane
jane"
"酷
kù","Cool
kù"
"david
david","david
david"
"一趟
yī tàng","Trip
yī tàng"
"趁
chèn","take advantage of
chèn"
"wanna
wanna","wanna
wanna"
"without
without","without
without"
"妮
nī","Ni
nī"
"没人会
méi rén huì","No one will
méi rén huì"
"关门
guānmén","close the door
guānmén"
"话题
huàtí","topic
huàtí"
"改
gǎi","change
gǎi"
"片名
piānmíng","Title
piānmíng"
"型
xíng","type
xíng"
"morning
morning","morning
morning"
"下班
xiàbān","Commute
xiàbān"
"区别
qūbié","the difference
qūbié"
"议员
yìyuán","Member
yìyuán"
"丢下
diūxià","Throw down
diūxià"
"整理
zhěnglǐ","sort out
zhěnglǐ"
"时期
shíqī","period
shíqī"
"老人
lǎorén","Old people
lǎorén"
"楼
lóu","floor
lóu"
"眼神
yǎnshén","Eyes
yǎnshén"
"电梯
diàntī","elevator
diàntī"
"小说
xiǎoshuō","Fiction
xiǎoshuō"
"ready
ready","ready
ready"
"签
qiān","sign
qiān"
"新娘
xīnniáng","bride
xīnniáng"
"仪式
yíshì","ceremony
yíshì"
"魅力
mèilì","charm
mèilì"
"领导
lǐngdǎo","leadership
lǐngdǎo"
"处于
chǔyú","In
chǔyú"
"公里
gōnglǐ","Kilometer
gōnglǐ"
"大楼
dàlóu","Building
dàlóu"
"g
g","g
g"
"爱人
àiren","Sweetheart
àiren"
"形成
xíngchéng","form
xíngchéng"
"右边
yòubian","right
yòubian"
"称为
chēngwéi","Called
chēngwéi"
"礼拜
lǐbài","worship
lǐbài"
"sheldon
sheldon","sheldon
sheldon"
"为止
wéizhǐ","until
wéizhǐ"
"圣
shèng","Saint
shèng"
"称
chēng","Call
chēng"
"发明
fāmíng","invention
fāmíng"
"辦法
bànfǎ","Method
bànfǎ"
"老妈
lǎomā","Mother
lǎomā"
"ﺣ
ﺣ","ح
ح"
"儿
ér","child
ér"
"几分钟
jǐ fēnzhōng","A few minutes
jǐ fēnzhōng"
"already
already","already
already"
"小家伙
xiǎo jiā huǒ","brat
xiǎo jiā huǒ"
"独立
dúlì","independent
dúlì"
"確定
quèdìng","determine
quèdìng"
"确信
quèxìn","Confident
quèxìn"
"指纹
zhǐwén","fingerprint
zhǐwén"
"坐牢
zuòláo","Imprisonment
zuòláo"
"job
job","job
job"
"打来
dǎlái","Call
dǎlái"
"兔子
tùzi","rabbit
tùzi"
"至于
zhìyú","As for
zhìyú"
"地板
dìbǎn","floor
dìbǎn"
"额
é","amount
é"
"卡特
kǎtè","Carter
kǎtè"
"期望
qīwàng","expect
qīwàng"
"好孩子
hǎo hái zǐ","Good boy
hǎo hái zǐ"
"海军
hǎijūn","navy
hǎijūn"
"对象
duìxiàng","Objects
duìxiàng"
"凯文
kǎiwén","Kevin
kǎiwén"
"追求
zhuīqiú","pursue
zhuīqiú"
"东京
dōngjīng","Tokyo
dōngjīng"
"镜头
jìngtóu","Shot
jìngtóu"
"平常
píngcháng","usually
píngcháng"
"交换
jiāohuàn","exchange
jiāohuàn"
"一整天
yī zhěng tiān","All day
yī zhěng tiān"
"hard
hard","hard
hard"
"肮脏
āngzāng","dirty
āngzāng"
"end
end","end
end"
"监控
jiānkòng","monitor
jiānkòng"
"で
で","で
で"
"这辈子
zhè bèizi","this life
zhè bèizi"
"甩
shuǎi","Fling
shuǎi"
"救护车
jiùhùchē","ambulance
jiùhùchē"
"一口
yīkǒu","Readily
yīkǒu"
"采访
cǎifǎng","Interview
cǎifǎng"
"角度
jiǎodù","angle
jiǎodù"
"部长
bùzhǎng","minister
bùzhǎng"
"做梦
zuòmèng","dream
zuòmèng"
"woman
woman","woman
woman"
"咱
zá","we
zá"
"商量
shāngliang","discuss
shāngliang"
"gone
gone","gone
gone"
"happy
happy","happy
happy"
"快速
kuàisù","fast
kuàisù"
"x
x","x
x"
"回家吧
huíjiā ba","go home
huíjiā ba"
"open
open","open
open"
"财产
cáichǎn","property
cáichǎn"
"很长
hěn cháng","very long
hěn cháng"
"森
sēn","Forest
sēn"
"只好
zhǐhǎo","Have to
zhǐhǎo"
"饼干
bǐnggān","Biscuit
bǐnggān"
"無法
wúfǎ","Unable
wúfǎ"
"舞台
wǔtái","stage
wǔtái"
"名叫
míngjiào","Named
míngjiào"
"几点
jǐdiǎn","Some
jǐdiǎn"
"pretty
pretty","pretty
pretty"
"房
fáng","room
fáng"
"舞
wǔ","dance
wǔ"
"有罪
yǒuzuì","guilty
yǒuzuì"
"浪费时间
làngfèi shíjiān","waste time
làngfèi shíjiān"
"丹
dān","Red
dān"
"灯
dēng","light
dēng"
"瑞克
ruì kè","Rick
ruì kè"
"同一
tóngyī","same
tóngyī"
"保佑
bǎoyòu","bless
bǎoyòu"
"对抗
duìkàng","confrontation
duìkàng"
"性命
xìngmìng","life
xìngmìng"
"used
used","used
used"
"强奸
qiángjiān","rape
qiángjiān"
"试试看
shìshìkàn","Try
shìshìkàn"
"饮料
yǐnliào","Drink
yǐnliào"
"癬
xuǎn","Ringworm
xuǎn"
"成熟
chéngshú","mature
chéngshú"
"人质
rénzhì","hostage
rénzhì"
"浴室
yùshì","bathroom
yùshì"
"idea
idea","idea
idea"
"陷阱
xiànjǐng","trap
xiànjǐng"
"took
took","took
took"
"荣誉
róngyù","honor
róngyù"
"当中
dāngzhōng","among
dāngzhōng"
"once
once","once
once"
"一本
yī běn","One
yī běn"
"敬
jìng","Respectfully
jìng"
"笨
bèn","stupid
bèn"
"具有
jùyǒu","have
jùyǒu"
"射
shè","Shoot
shè"
"类型
lèixíng","Types of
lèixíng"
"顿
dùn","pause
dùn"
"在于
zàiyú","That
zàiyú"
"本人
běnrén","Myself
běnrén"
"room
room","room
room"
"空中
kōngzhōng","Air
kōngzhōng"
"咋
zǎ","How
zǎ"
"小偷
xiǎotōu","Thief
xiǎotōu"
"牌
pái","brand
pái"
"隻
zhī","only
zhī"
"归
guī","Return
guī"
"白天
báitiān","day
báitiān"
"下雨
xiàyǔ","rain
xiàyǔ"
"姓
xìng","name
xìng"
"正义
zhèngyì","justice
zhèngyì"
"可笑
kěxiào","ridiculous
kěxiào"
"式
shì","formula
shì"
"還
hái","also
hái"
"当地
dāngdì","local
dāngdì"
"今日
jīnrì","today
jīnrì"
"艺术家
yìshùjiā","artist
yìshùjiā"
"joe
joe","joe
joe"
"情
qíng","situation
qíng"
"托
tuō","Care
tuō"
"heard
heard","heard
heard"
"called
called","called
called"
"货
huò","goods
huò"
"中央
zhōngyāng","central
zhōngyāng"
"观点
guāndiǎn","View
guāndiǎn"
"贾
gǔ","Jia
gǔ"
"ま
ま","Ma
Ma"
"侦探
zhēntàn","detective
zhēntàn"
"卧室
wòshì","bedroom
wòshì"
"袋子
dàizi","bag
dàizi"
"风格
fēnggé","style
fēnggé"
"修好
xiūhǎo","Repaired
xiūhǎo"
"资格
zīgé","qualifications
zīgé"
"宗教
zōngjiào","religion
zōngjiào"
"今早
jīn zǎo","This morning
jīn zǎo"
"老朋友
lǎopéngyou","Old friends
lǎopéngyou"
"某
mǒu","certain
mǒu"
"之下
zhīxià","under
zhīxià"
"起飞
qǐfēi","take off
qǐfēi"
"判断
pànduàn","judgment
pànduàn"
"guess
guess","guess
guess"
"荒谬
huāngmiù","absurd
huāngmiù"
"尼斯
nísī","Nice
nísī"
"俄国
Éguó","Russia
Éguó"
"圣经
shèngjīng","Bible
shèngjīng"
"保留
bǎoliú","Retention
bǎoliú"
"汤米
shāng mǐ","Tommy
shāng mǐ"
"gotta
gotta","gotta
gotta"
"е
е","е
е"
"祝福
zhùfú","blessing
zhùfú"
"毛病
máobìng","Fault
máobìng"
"知
zhī","know
zhī"
"受够了
shòugòu le","enough
shòugòu le"
"就行
jiù xíng","On the line
jiù xíng"
"大不了
dàbùliǎo","Big deal
dàbùliǎo"
"绳子
shéngzi","rope
shéngzi"
"借口
jièkǒu","Excuse
jièkǒu"
"维持
wéichí","maintain
wéichí"
"寂寞
jìmò","lonely
jìmò"
"女巫
nǚwū","Witch
nǚwū"
"bring
bring","bring
bring"
"泡
pào","bubble
pào"
"use
use","use
use"
"超人
chāorén","Superman
chāorén"
"后果
hòuguǒ","as a result of
hòuguǒ"
"我试
wǒ shì","I tried
wǒ shì"
"总会
zǒng huì","Federation
zǒng huì"
"绑
bǎng","tie
bǎng"
"饭
fàn","rice
fàn"
"罗杰
luójié","Roger
luójié"
"槍
qiāng","gun
qiāng"
"开口
kāikǒu","Opening
kāikǒu"
"慢点
màn diǎn","slower
màn diǎn"
"说些
shuō xiē","Say something
shuō xiē"
"軍
jūn","military
jūn"
"帝国
dìguó","empire
dìguó"
"竞选
jìngxuǎn","Run for
jìngxuǎn"
"表明
biǎomíng","show
biǎomíng"
"市长
shìzhǎng","mayor
shìzhǎng"
"提起
tíqǐ","Mention
tíqǐ"
"门口
ménkǒu","Doorway
ménkǒu"
"屋里
wū lǐ","House
wū lǐ"
"将要
jiāngyào","will
jiāngyào"
"美國
měiguó","United States
měiguó"
"一项
yīxiàng","Item
yīxiàng"
"古老
gǔlǎo","ancient
gǔlǎo"
"ﾇ
ﾇ","Numara
Numara"
"功夫
gōngfu","effort
gōngfu"
"温柔
wēnróu","tender
wēnróu"
"想不到
xiǎngbudào","Unexpected
xiǎngbudào"
"战场
zhànchǎng","battlefield
zhànchǎng"
"回报
huíbào","Return
huíbào"
"结局
jiéjú","ending
jiéjú"
"抓到
zhuā dào","Caught
zhuā dào"
"gbk
gbk","gbk
gbk"
"支票
zhīpiào","check
zhīpiào"
"座位
zuòwèi","seat
zuòwèi"
"不仅仅
bù jǐn jǐn","Not only
bù jǐn jǐn"
"投
tóu","cast
tóu"
"face
face","face
face"
"actually
actually","actually
actually"
"情感
qínggǎn","emotion
qínggǎn"
"有种
yǒuzhǒng","Kind of
yǒuzhǒng"
"start
start","start
start"
"雖然
suīrán","although
suīrán"
"卫星
wèixīng","satellite
wèixīng"
"提前
tíqián","in advance
tíqián"
"下降
xiàjiàng","decline
xiàjiàng"
"建造
jiànzào","put up
jiànzào"
"大海
dàhǎi","Sea
dàhǎi"
"柏林
bólín","Berlin
bólín"
"搞笑
gǎoxiào","Funny
gǎoxiào"
"协助
xiézhù","assist
xiézhù"
"ist
ist","ist
ist"
"吃掉
chīdiào","Eat
chīdiào"
"中士
zhòng shì","Sgt.
zhòng shì"
"れ
れ","Made me cry
Made me cry"
"短
duǎn","short
duǎn"
"下周
xiàzhōu","next week
xiàzhōu"
"我本
wǒ běn","I had
wǒ běn"
"一架
yī jià","One
yī jià"
"哪来
na lái","But where
na lái"
"修女
xiūnǚ","nun
xiūnǚ"
"这部
zhè bù","This
zhè bù"
"夫妇
fūfù","Husband and wife
fūfù"
"吸
xī","Suck
xī"
"证实
zhèngshí","Confirm
zhèngshí"
"致命
zhìmìng","fatal
zhìmìng"
"新鲜
xīnxiān","fresh
xīnxiān"
"疾病
jíbìng","disease
jíbìng"
"温暖
wēnnuǎn","warm
wēnnuǎn"
"苹果
píngguǒ","apple
píngguǒ"
"连接
liánjiē","connection
liánjiē"
"当初
dāngchū","Originally
dāngchū"
"月亮
yuèliang","moon
yuèliang"
"保密
bǎomì","Secrecy
bǎomì"
"平静
píngjìng","calm
píngjìng"
"可能性
kěnéngxìng","possibility
kěnéngxìng"
"骑士
qíshì","knight
qíshì"
"fnfzzongyi
fnfzzongyi","fnfzzongyi
fnfzzongyi"
"基本上
jīběnshang","basically
jīběnshang"
"ain
ain","ain
ain"
"整晚
zhěng wǎn","Night
zhěng wǎn"
"演奏
yǎnzòu","Playing
yǎnzòu"
"days
days","days
days"
"anyone
anyone","anyone
anyone"
"四处
sìchù","around
sìchù"
"while
while","while
while"
"歡迎
huānyíng","welcome
huānyíng"
"一瓶
yī píng","Bottle
yī píng"
"玩意儿
wányìr","thing
wányìr"
"出卖
chūmài","sell
chūmài"
"针对
zhēnduì","against
zhēnduì"
"lost
lost","lost
lost"
"both
both","both
both"
"成长
chéngzhǎng","growing up
chéngzhǎng"
"蠢货
chǔnhuò","idiot
chǔnhuò"
"老头
lǎotóu","The old man
lǎotóu"
"本身
běnshēn","itself
běnshēn"
"king
king","king
king"
"james
james","james
james"
"每個
měi gè","Each
měi gè"
"不愿
bùyuàn","Unwilling
bùyuàn"
"就是说
jiùshìshuō","that is
jiùshìshuō"
"理想
lǐxiǎng","ideal
lǐxiǎng"
"yet
yet","yet
yet"
"适应
shìyìng","adapt
shìyìng"
"噩梦
èmèng","Nightmare
èmèng"
"棒极了
bàngjíle","Excellent
bàngjíle"
"瞎
xiā","blind
xiā"
"牙齿
yáchǐ","tooth
yáchǐ"
"宋体
sòngtǐ","Times New Roman
sòngtǐ"
"烤
kǎo","grilled
kǎo"
"自豪
zìháo","pride
zìháo"
"天天
tiāntiān","day by day
tiāntiān"
"繫
jì","system
jì"
"第二天
dìèrtiān","the next day
dìèrtiān"
"提议
tíyì","proposal
tíyì"
"念
niàn","Idea
niàn"
"重大
zhòngdà","major
zhòngdà"
"托马斯
tuōmǎsī","Thomas
tuōmǎsī"
"走运
zǒuyùn","Lucky
zǒuyùn"
"三明治
sānmíngzhì","sandwich
sānmíngzhì"
"進去
jìnqù","Go
jìnqù"
"消灭
xiāomiè","wipe out
xiāomiè"
"卡拉
kǎlā","Kara
kǎlā"
"忠诚
zhōngchéng","loyalty
zhōngchéng"
"应付
yìngfu","Handle
yìngfu"
"屋顶
wūdǐng","roof
wūdǐng"
"试
shì","test
shì"
"當時
dāngshí","then
dāngshí"
"基
jī","base
jī"
"ah
ah","ah
ah"
"敲
qiāo","knock
qiāo"
"第二个
dìèr gè","the second
dìèr gè"
"钱包
qiánbāo","wallet
qiánbāo"
"这样的话
zhè yàng de huà","In this case
zhè yàng de huà"
"查尔斯
cháěrsī","Charles
cháěrsī"
"few
few","few
few"
"de
de","de
de"
"文章
wénzhāng","article
wénzhāng"
"mom
mom","mom
mom"
"理查德
lǐchádé","Richard
lǐchádé"
"养
yǎng","support
yǎng"
"飞船
fēichuán","spaceship
fēichuán"
"saying
saying","saying
saying"
"尼尔
ní ěr","Neal
ní ěr"
"迷路
mílù","get lost
mílù"
"这片
zhè piàn","this piece
zhè piàn"
"注意力
zhùyìlì","attention
zhùyìlì"
"那種
nàzhǒng","Kind of
nàzhǒng"
"上课
shàngkè","Attend class
shàngkè"
"有什麼
yǒu shénme","have what
yǒu shénme"
"圣诞
shèngdàn","Christmas
shèngdàn"
"不安
bùān","disturbed
bùān"
"偶尔
ǒuěr","occasionally
ǒuěr"
"关上
guānshàng","close
guānshàng"
"相反
xiāngfǎn","in contrast
xiāngfǎn"
"hand
hand","hand
hand"
"塞
sài","Stopper
sài"
"自信
zìxìn","confidence
zìxìn"
"臭小子
chòu xiǎozi","Brats
chòu xiǎozi"
"丁
dīng","Ding
dīng"
"这下
zhèxià","This time
zhèxià"
"挡
dǎng","block
dǎng"
"乘客
chéngkè","passenger
chéngkè"
"请原谅
qǐng yuánliàng","please forgive
qǐng yuánliàng"
"费
fèi","fee
fèi"
"炒
chǎo","fry
chǎo"
"大臣
dàchén","Chancellor
dàchén"
"植物
zhíwù","plant
zhíwù"
"這次
zhècì","this time
zhècì"
"飞行员
fēixíngyuán","pilot
fēixíngyuán"
"我敢
wǒ gǎn","I dare
wǒ gǎn"
"皇后
huánghòu","Empress
huánghòu"
"春天
chūntiān","spring
chūntiān"
"香槟
xiāngbīn","Champagne
xiāngbīn"
"撒
sǎ","spread
sǎ"
"录像
lùxiàng","Recording
lùxiàng"
"智慧
zhìhuì","wisdom
zhìhuì"
"heart
heart","heart
heart"
"克拉克
kèlākè","Clark
kèlākè"
"祝贺
zhùhè","congratulate
zhùhè"
"夢
mèng","dream
mèng"
"诚实
chéngshí","honest
chéngshí"
"强烈
qiángliè","strong
qiángliè"
"皮
pí","skin
pí"
"tom
tom","tom
tom"
"坦白
tǎnbái","frank
tǎnbái"
"杰西
jiéxī","Jesse
jiéxī"
"歌曲
gēqǔ","song
gēqǔ"
"深
shēn","deep
shēn"
"小鬼
xiǎoguǐ","Imp
xiǎoguǐ"
"看好
kànhǎo","Optimistic about
kànhǎo"
"成為
chéngwéi","become
chéngwéi"
"ㄛ
ㄛ","ㄛ
ㄛ"
"我俩
wǒ liǎ","Us
wǒ liǎ"
"全身
quánshēn","whole body
quánshēn"
"解开
jiěkāi","Untie
jiěkāi"
"崩溃
bēngkuì","collapse
bēngkuì"
"爱丽丝
Àìlìsī","Alice
Àìlìsī"
"und
und","und
und"
"向前
xiàngqián","forward
xiàngqián"
"有权
yǒuquán","The right to
yǒuquán"
"午饭
wǔfàn","lunch
wǔfàn"
"毁掉
huǐdiào","Destroyed
huǐdiào"
"出租车
chūzūchē","taxi
chūzūchē"
"丹尼尔
dānníěr","Daniel
dānníěr"
"善良
shànliáng","Kind-hearted
shànliáng"
"莉
lì","Li
lì"
"冬天
dōngtiān","winter
dōngtiān"
"散步
sànbù","Take a walk
sànbù"
"欧
Ōū","Europe
Ōū"
"屁
pì","fart
pì"
"网站
wǎngzhàn","website
wǎngzhàn"
"う
う","U
U"
"标准
biāozhǔn","standard
biāozhǔn"
"报
bào","Report
bào"
"这句
zhè jù","Sentence
zhè jù"
"闻到
wéndào","smell
wéndào"
"turn
turn","turn
turn"
"别闹
biè nào","Knock
biè nào"
"敏感
mǐngǎn","sensitive
mǐngǎn"
"脱掉
tuōdiào","Take off
tuōdiào"
"ㄇ
ㄇ","Mo
Mo"
"辞职
cízhí","resignation
cízhí"
"投入
tóurù","Put in
tóurù"
"交谈
jiāotán","chat
jiāotán"
"leonard
leonard","leonard
leonard"
"安慰
ānwèi","comfort
ānwèi"
"欺负
qīfu","bully
qīfu"
"绿色
lǜsè","green
lǜsè"
"坏事
huàishì","bad thing
huàishì"
"還在
hái zài","Also
hái zài"
"そ
そ","そ
そ"
"還要
hái yào","Also
hái yào"
