、,","
意気,Spirit
送り,Feed
近寄,Chikayo
成績,Record
合流,Confluence
是非,I'd love to
例外,exception
同志,Comrade
素直,Docile
ワイアット,Wyatt
本来,Originally
皆殺し,Massacre
各,each
応,Response
引き出,Pull out
主に,mainly
対抗,Opposition
充電,charging
墓地,Cemetery
座り,sitting
売買,Buying and selling
大体,Generally
創,Wounds
田舎,Countryside
万歳,Banzai
同じく,Same
休め,Rest
見張り,Lookout
論,Logical
番地,address
体重,body weight
直感,Intuition
伝わ,Tsutawa
一丿,Ichi丿
衝動,impulse
手首,wrist
持ち帰,Mochikae
一種,A kind
相応し,Correspondingly
直後,Immediately following
探知,Detection
生き返,Ikikae
有能,Efficient
高価,Expensive
人数,Number of people
団体,Organization
境界,boundary
制,Control
日常,Everyday
アナキン,Anakin
女優,actress
保持,Retention
迷子,Lost child
文明,civilization
有利,advantageous
向こう側,The other side
連合,Union
アリソン,Allison
宮殿,Palace
予感,Premonition
性的,sexual
市警,City Police Department
何に,What
先だ,It earlier
次元,dimension
付近,near
アナ,Ana
投与,Administration
回線,Circuit
管制,control
想定,Assumption
建築,Architecture
出所,source
大気,atmosphere
至急,Urgent
停電,Power cuts
直せ,Fix it
応え,Meet
戦術,tactics
比較,Comparison
次回,next time
悪気,Malice
雰囲気,atmosphere
持ち出,And out have
総督,Governor-general
退学,Withdrawal
不快,Unpleasant
中断,Interruption
差別,discrimination
秘書,Secretary
前科,Criminal record
一家,Family
同,same
地帯,Zone
鉱山,mine
伊勢,Ise
保釈,bail
アーム,arm
マフィア,mafia
教室,Classroom
能,Noh
採用,Adopt
拠点,Base
致命,Fatal
表情,Facial expression
話し合い,discussion
王冠,crown
決心,Determination
論理,logic
出動,Dispatch
職務,Duties
論文,paper
大げさ,exaggerated
取材,Interview
推理,Reasoning
以降,Or later
初日,first day
産業,industry
大胆,Daring
引き裂,Pull crack
処方,Prescription
気絶,Swoon
降下,Descent
動産,Personal property
回転,rotation
菜々,Nana
知性,intelligence
あかね,Akane
作成,Creating
銃声,Gunshot
大嫌い,hate
路,A road
偽造,Forgery
現地,local
和解,settlement
無力,Powerlessness
到達,Reaching
握手,Handshake
当たり,Hit
野蛮,Savage
不運,Bad luck
日記,diary
在,Standing
アイ,Ai
説教,Sermon
分かれ,Divided
隊員,Group members
生産,production
大将,General
爽太,爽太
変わり,change
アルバート,Albert
紗絵子,Shaeko
別人,Different person
ソフィア,Sophia
供述,Statement
セクレタリアト,Secretariat
写,Shooting
説,Theory
指環,ring
様々,various
上出来,Good performance
エンジニア,Engineers
小切手,check
愛人,mistress
合意,agreement
先月,last month
仮説,hypothesis
盲目,Blindness
参照,reference
取り戻せ,Get back
無礼,rude
温度,temperature
乗り込,Ride write
宣伝,Propaganda
止,Stop
務め,Served
賞金,Prize
現状,Current status
大麻,Cannabis
生き残れ,Survive
及び,as well as
潜在,Latency
料金,Fee
予算,budget
呼び出し,call
未知,Unknown
不審,distrust
派手,flashy
聴取,listening
手口,Trick
インディアン,Indian
模合,Mogo
決意,Determination
録画,Recording
成し遂げ,Accomplished
納屋,barn
習慣,Habit
人格,personality
義理,Duty
不死,Immortality
毎回,every time
アジア,Asia
合理,Rational
着せ,Dress
動かせ,You move
住人,Resident
郊外,Suburb
展示,Exhibition
人口,population
象徴,Symbol
家賃,rent
広告,Advertisement
広場,Plaza
食堂,Cafeteria
本質,The essence
独立,Independence
鉄道,Railway
過ごせ,Spend
初期,initial
火災,fire
金額,Amount of money
遺産,heritage
消せ,Indelible
協定,Pact
狂人,madman
向き,direction
花火,fireworks
俳優,Actor
身長,height
リアル,Real
馬車,Carriage
戦車,tank
エア,air
標準,standard
香港,Hong Kong
救命,Lifesaving
裁,Judge
外部,Outside
隠し事,Secret
殿下,Your highness
アルコール,alcohol
足元,foot
向き合,Direction if
我が家,Our house
火星,Mars
毎週,Every week
統合,Integration
形跡,evidence
親戚,Relative
住宅,Housing
大人し,Otonashi
動作,motion
反抗,Rebellion
構え,Posture
神秘,Mystery
アドレス,address
検視,Necropsy
わあ,Wow
増加,increase
毛布,blanket
常識,common sense
仕組,Arrangement
最良,best
運営,Management
バックアップ,backup
仮定,Assumption
抗議,protest
持ち上げ,Lifting up
ダイアナ,Diana
軍団,Army corps
男女,Men and women
路地,alley
年上,Senior
師匠,Teacher
主要,Primary
実在,Real
ありゃ,Arya
消去,Erasing
回り,Rotation
部署,Department
アライグマ,raccoon
相続,inheritance
銀河,Galaxy
審査,Examination
放置,Left
営業,Sales
退院,Leaving hospital
懸念,concern
全国,Nationwide
改善,Improvement
動画,The video
東田,Higashida
現代,present day
低下,Lowering
見知,Mississauga
競技,The competition
全滅,Annihilation
立ち寄,Care -
アー,Ah
野菜,Vegetables
悟空,Goku
組合,Union
異議,Objection
名乗,Self-introduction
生き残り,The survival
石油,oil
本心,True feelings
気楽,Comfortable
無茶,Unreasonable
化粧,make up
補給,Supply
野生,wild
フェア,Fair
退治,Extermination
知的,intellectual
経路,Route
アイディア,idea
麗子,Reiko
目だ,It eyes
通り抜け,Through
改造,Remodeling
大騒ぎ,Uproar
先頭,lead
雇用,employment
異星,Alien
成立,Establishment
数十,dozens
税金,tax
兵隊,Soldier
似合い,Well-matched
人員,personnel
電池,battery
コロンビア,Columbia
転が,Is rolling
交差,Cross
通知,notification
考え直,Thinking straight
首都,capital
基準,Standard
賞賛,praise
アイルランド,Ireland
昨年,last year
アレルギー,Allergy
観光,Tourism
最愛,beloved
防犯,Crime prevention
航海,Voyage
男子,Boy
安藤,Ando
大門,Daimon
画面,screen
名簿,Roster
先祖,ancestor
降ろせ,Orose
引っかか,Scratch
機器,machine
養子,Adopted child
流行,trend
前線,front
作り話,Fiction
周波,frequency
外せ,By removing
伝染,Contagion
配,Distribution
臓器,Internal organs
上級,Senior
再現,Reproduction
前方,Frontward
統治,Reign
乗組,crew
迅速,fast
物資,Goods
政権,administration
転換,Convert
観客,audience
入り込,Included enters
香水,perfume
後退,Recession
スチュアート,Stuart
区画,section
ソ連,The Soviet Union
制度,system
接,Contact
家具,furniture
専用,designated
整,Sei
安らか,Restful
あちら,there
祖国,Fatherland
再建,Reconstruction
貴族,Aristocracy
並べ,Line up
降参,Surrender
移送,transfer
転,Rolling
参考,reference
推薦,Recommendation
大戦,Great war
業者,Trader
不在,absence
総統,President
照ら,Shine
交わ,Majiwa
乱暴,Rough
野獣,Beast
厳重,Strict
見直,Reviewing
大和田,Owada
領主,Lord
回路,circuit
口論,Quarrel
射殺,Shot dead
乗っ取,Knot
暴動,Riot
手間,Time
言い,say
会場,Meeting place
採取,Harvesting
消滅,Extinction
文,Sentence
参り,Mairi
業務,business
価格,price
あが,Aga
警視,Police superintendent
子犬,puppy
出産,birth
節約,Saving
空想,Fantasy
重ね,Pile
別々,separately
演説,speech
手袋,gloves
入学,admission
外側,outside
階級,class
引き出し,drawer
弟子,Disciple
組み合わせ,combination
全身,Whole body
母国,Homeland
知事,Governor
引き換え,Exchange
アリシア,Alicia
女神,Goddess
設備,Facility
たどり着,Follow wear
群,group
感心,Admiration
摂取,intake
毎朝,Every morning
無謀,reckless
ミア,Mia
茶色,Brown
経過,Progress
表面,surface
照合,Collation
旧,Old
強烈,strong
加護,Divine protection
苦情,Complaint
延期,Postponement
探検,expedition
院長,Director
所属,Belongs
定め,Determined
猶予,Postponement
裏口,The back door
劇,Drama
解散,Dissolution
急ぎ,Urgent
力丶,Chikara丶
同感,Agreement
令,Decree
先端,Tip
事前,In advance
南部,Southern part
韓国,Korea
団結,Unity
公正,Fairness
聞き,listen
順番,The order
アンドレア,Andrea
照明,illumination
湾,bay
神話,mythology
受け取れ,Receive
寸前,On the verge
祐司,Yuji
会長,President
小人,child
入口,entrance
叫び声,Yell
不良,Failure
合成,Synthesis
聖職,Priests
中隊,Company
あけ,Open
知能,Intelligence
富,wealth
推定,Estimation
口径,Caliber
絵画,Picture
信者,Believer
見通し,Outlook
寛大,Leniency
産まれ,Born
信じろ,Believe
バージニア,Virginia
裕福,Affluence
一矢,Kazuya
特権,Privilege
後方,Behind
入力,input
作り出,Out to make
金髪,Blond hair
行い,Conduct
受け継,Joint received
外傷,Trauma
井戸,well
アッシュ,Ash
座席,seat
雨宮,Amemiya
機長,Pilot
通訳,Interpreter
モリアティー,Moria tea
補佐,Assistance
来年,next year
内臓,Internal organs
解剖,Dissection
あて,Addressed
血清,serum
まあまあ,So so
決着,Settlement
偽名,Alias
幹部,Leaders
子守,Baby-sitter
アンドリア,Andria
空っぽ,empty
食い止め,Halt
提示,Presentation
素人,amateur
アポロ,Apollo
アンジー,Angie
深夜,Late at night
出演,Performance
通れ,Impassable
抑制,Suppression
歌手,singer
右手,right hand
天井,ceiling
振り向,Pretend direction
共謀,Collusion
構成,Constitution
一気,Chug
アート,Art
分子,molecule
５千,5 thousand
共産,Communism
自爆,Suicide
場面,scene
街中,In town
送金,money transfer
呼び,Call
立ち,Start
生まれ変わ,Umarekawa
搭乗,Boarding
店員,Clerk
勢力,power
可哀想,poor
略奪,Looting
細工,Work
体内,Inside the body
化け,Garbled
帰国,Return home
聞か,Asked
食い物,Ripped off
放火,arson
部族,tribe
最期,Last moment
放題,Hodai
診察,Medical examination
角度,angle
美波,Minami
名付け,Named
通用,Spoken
立証,Demonstration
可笑し,Funny
打ち上げ,launch
救済,Relief
液体,liquid
あえて,Dare
平穏,Peaceful
公共,public
服役,Penal servitude
食欲,appetite
感想,Impressions
美,Beauty
予防,prevention
役者,actor
工学,engineering
野心,ambition
哲学,philosophy
抹殺,Obliteration
生え,Grow
理性,reason
欠点,Disadvantage
再度,again
整え,Trimmed
亡命,exile
オーストラリア,Australia
太平,Peace
近付,With near
あん,Ann
向かえ,Celebrating
点火,ignition
荷造り,packing
移植,Porting
箇所,Place
恩人,benefactor
役員,Officer
外見,Outward appearance
便利,Convenient
解析,analysis
魔力,Magical power
明信,Akinobu
要点,Gist
身代金,Ransom
将校,Commissioned officer
一掃,Clean out
名案,good idea
生み出,Out birth
鼓動,Beat
堂々,proudly
投稿,Contribution
意義,significance
反省,Reflection
食らえ,Kurae
野人,Yeti
失業,unemployment
国外,Outside the country
遂行,Execution
下水,sewage
支度,Preparation
要素,element
いやあ,Gee
解釈,Interpretation
周,Circumference
起爆,Exploding
学者,Scholar
計,Total
美味,Delicacy
警,Warning
進路,course
処女,virgin
毎,every
大抵,usually
青年,Youth
識別,identification
翌日,next day
無敵,invincible
取り消,Take consumption
手柄,Feat
仲直り,Reconciliation
公衆,public
食ら,"Food, et al."
衛生,Health
変装,disguise
測定,Measurement
依存,Dependence
立ち入り,Entrance
アンバー,amber
アロー,Arrow
身内,Relatives
破産,bankruptcy
村田,Murata
司祭,Priest
アシスタント,assistant
会合,Meeting
未亡人,widow
アンダーソン,Anderson
昼間,Daytime
傍受,Interception
あふれ,Overflowing
不倫,Adultery
過激,Radical
電,Power
警護,Escort
究極,ultimate
ムーア,Moore
区別,Distinction
何十,Dozens
引き離,Pull away
コア,core
ビクトリア,Victoria
孤立,Isolation
ボランティア,volunteer
一流,top notch
ぶっ殺,Buyya
学べ,Learn
民族,People
報い,Rewarded
兵団,Army corps
活躍,Activity
真下,Directly below
高貴,Royal
占領,occupation
後部,rear end
水曜,Wednesday
加地,Kaji
大砲,Cannon
浄化,purification
親指,thumb
不死身,Invulnerability
解毒,Detoxification
顔色,complexion
前向き,Prospective
新入り,noob
治せ,Naose
見当た,Miata
傑作,masterpiece
上等,Choice
分類,Classification
名声,fame
明朝,Tomorrow morning
人材,Human Resources
ピアス,Earrings
アビゲイル,Abigail
国連,United Nations
家内,wife
群衆,crowd
講義,lecture
交信,Communication
光景,Scene
使者,messenger
概念,concept
組み立て,assembly
乗船,On board
過程,process
旧友,old friend
傾向,Trend
浅野,Asano
結合,Combining
単語,word
徹信,ToruShin
平凡,Mediocre
解体,Dismantling
移民,Immigration
閉店,closed
常務,Managing director
見分け,To tell
取り付け,attachment
補助,auxiliary
窮地,Predicament
策略,Trick
運べ,Carry
敵対,Opposition
ジョシュア,Joshua
丈,length
助け合,Help if
